Type,Key,Assignee,Priority,Status,Summary,Label
Epic,PIX-278,chris@slimshady.me,Medium,To Do,AutoReview Workflow Improvements,
Epic,PIX-279,chris@slimshady.me,Medium,To Do,Discovery & Backlog,
Epic,PIX-280,chris@slimshady.me,Medium,To Do,Churnmeon Reliability,
Epic,PIX-281,chris@slimshady.me,Medium,In Progress,Training Pipeline Improvements,
Task,PIX-282,chris@slimshady.me,Medium,Done,1.0 Create shared training infrastructure,"phase-1-infra, safety-critical"
Task,PIX-283,chris@slimshady.me,Medium,Done,*1.1 Property test — token length stats correctness (Prop 6),"phase-1-infra, safety-critical, type:test"
Task,PIX-284,chris@slimshady.me,Medium,Done,*1.2 Property test — truncation warning (Prop 7),"phase-1-infra, safety-critical, type:test"
Task,PIX-285,chris@slimshady.me,Medium,Done,*1.3 Unit tests for shared_config.py,"phase-1-infra, type:test"
Task,PIX-286,chris@slimshady.me,Medium,Done,2.0 Create MultilingualSafetyChecker,"phase-1-infra, safety-critical"
Task,PIX-287,chris@slimshady.me,Medium,Done,*2.1 Property test — multilingual crisis detection (Prop 8),"phase-1-infra, safety-critical, type:test"
Task,PIX-288,chris@slimshady.me,Medium,Done,*2.2 Property test — multilingual negation suppression (Prop 9),"phase-1-infra, safety-critical, type:test"
Task,PIX-289,chris@slimshady.me,Medium,Done,*2.3 Unit tests for MultilingualSafetyChecker,"phase-1-infra, type:test"
Task,PIX-290,chris@slimshady.me,Medium,Done,3.0 Extend production SFT script,phase-1-infra
Task,PIX-291,chris@slimshady.me,Medium,Done,*3.1 Unit tests for SFT script improvements,"phase-1-infra, type:test"
Task,PIX-292,chris@slimshady.me,Medium,Done,4.0 Update Colab notebook for TRL API parity,phase-1-infra
Task,PIX-293,chris@slimshady.me,Medium,Done,†6.0 Delete broken pipeline files and garbage data,"phase-2-data, type:cleanup"
Task,PIX-294,chris@slimshady.me,Medium,Done,5.0 Checkpoint — Phase 1 complete,"phase-1-infra, type:checkpoint"
Task,PIX-295,chris@slimshady.me,Medium,Done,†7.0 Verify compiled corpus not contaminated by garbage book data,"phase-2-data, safety-critical, type:cleanup"
Task,PIX-296,chris@slimshady.me,Medium,Done,8.0 Implement YouTube transcript ingestion pipeline,phase-2-data
Task,PIX-297,chris@slimshady.me,Medium,Done,*8.1 Property test — YouTube language tagging (Prop 15),"phase-2-data, type:test"
Task,PIX-298,chris@slimshady.me,Medium,Done,*8.2 Property test — YouTube safety filtering (Prop 16),"phase-2-data, safety-critical, type:test"
Task,PIX-299,chris@slimshady.me,Medium,Done,*8.3 Property test — YouTube dedup (Prop 17),"phase-2-data, type:test"
Task,PIX-300,chris@slimshady.me,Medium,Done,*8.4 Unit tests for youtube_ingestion.py,"phase-2-data, type:test"
Task,PIX-301,chris@slimshady.me,Medium,Done,‡9.0 Execute YouTube ingestion — Tier 1 channels,"phase-2-data, type:execution"
Task,PIX-302,chris@slimshady.me,Medium,To Do,‡10.0 Execute YouTube ingestion — Tier 2 channels,"phase-2-data, type:execution"
Task,PIX-303,chris@slimshady.me,Medium,To Do,‡11.0 Execute YouTube ingestion — Tier 3 channels,"phase-2-data, type:execution"
Task,PIX-304,chris@slimshady.me,Medium,Done,12.0 Implement book and PDF conversion pipeline,phase-2-data
Task,PIX-305,chris@slimshady.me,Medium,Done,*12.1 Property test — book conversion metadata (Prop 18),"phase-2-data, type:test"
Task,PIX-306,chris@slimshady.me,Medium,Done,*12.2 Property test — book conversion safety filtering (Prop 19),"phase-2-data, safety-critical, type:test"
Task,PIX-307,chris@slimshady.me,Medium,Done,*12.3 Unit tests for book_pdf_converter.py,"phase-2-data, type:test"
Task,PIX-308,chris@slimshady.me,Medium,To Do,‡14.0 Execute book conversion — remaining titles,"phase-2-data, type:execution"
Task,PIX-309,chris@slimshady.me,Medium,To Do,‡13.0 Execute book conversion — priority titles,"phase-2-data, type:execution"
Task,PIX-310,chris@slimshady.me,Medium,Done,15.0 Implement deduplication and ChatML normalization pipeline,phase-2-data
Task,PIX-311,chris@slimshady.me,Medium,Done,*15.1 Property test — near-duplicate removal (Prop 20),"phase-2-data, type:test"
Task,PIX-312,chris@slimshady.me,Medium,Done,*15.2 Property test — ChatML boundary verification (Prop 21),"phase-2-data, type:test"
Task,PIX-313,chris@slimshady.me,Medium,Done,*15.3 Property test — edge case preservation (Prop 22),"phase-2-data, safety-critical, type:test"
Task,PIX-314,chris@slimshady.me,Medium,Done,*15.4 Unit tests for dedup_normalize.py,"phase-2-data, type:test"
Task,PIX-315,chris@slimshady.me,Medium,Done,16.0 Implement data audit script,phase-2-data
Task,PIX-316,chris@slimshady.me,Medium,Done,*16.1 Unit tests for data_audit.py,"phase-2-data, type:test"
Task,PIX-317,chris@slimshady.me,Medium,To Do,17.0 Checkpoint — Phase 2 complete,"phase-2-data, type:checkpoint"
Task,PIX-318,chris@slimshady.me,Medium,Done,18.0 Implement SDG pipeline,phase-3-sdg
Task,PIX-319,chris@slimshady.me,Medium,Done,*18.1 Property test — DPO output field completeness (Prop 10),"phase-3-sdg, type:test"
Task,PIX-320,chris@slimshady.me,Medium,Done,*18.2 Property test — nightmare fuel tagging (Prop 11),"phase-3-sdg, safety-critical, type:test"
Task,PIX-321,chris@slimshady.me,Medium,Done,*18.3 Property test — non-nightmare safety filtering (Prop 12),"phase-3-sdg, safety-critical, type:test"
Task,PIX-322,chris@slimshady.me,Medium,Done,*18.4 Unit tests for sdg_pipeline.py,"phase-3-sdg, type:test"
Task,PIX-323,chris@slimshady.me,Medium,To Do,"‡19.0 Generate DPO preference pairs (10,000)","phase-3-sdg, type:execution"
Task,PIX-324,chris@slimshady.me,Medium,To Do,‡20.0 Generate niche category data (500 × 10 categories),"phase-3-sdg, type:execution"
Task,PIX-325,chris@slimshady.me,Medium,To Do,"‡21.0 Generate nightmare fuel data (5,000)","phase-3-sdg, safety-critical, type:execution"
Task,PIX-326,chris@slimshady.me,Medium,Done,24.0 Implement DPO trainer,"phase-4-dpo, safety-critical"
Task,PIX-327,chris@slimshady.me,Medium,To Do,‡22.0 Run dedup + normalize on full corpus,"phase-3-sdg, type:execution"
Task,PIX-328,chris@slimshady.me,Medium,Done,*24.1 Property test — DPO safety filter (Prop 1),"phase-4-dpo, safety-critical, type:test"
Task,PIX-329,chris@slimshady.me,Medium,To Do,23.0 Checkpoint — Phase 3 complete,"phase-3-sdg, type:checkpoint"
Task,PIX-330,chris@slimshady.me,Medium,Done,*24.2 Unit tests for dpo_trainer.py,"phase-4-dpo, type:test"
Task,PIX-331,chris@slimshady.me,Medium,To Do,25.0 Integration test — DPO end-to-end,"phase-4-dpo, type:test"
Task,PIX-332,chris@slimshady.me,Medium,To Do,26.0 Checkpoint — Phase 4 complete,"phase-4-dpo, type:checkpoint"
Task,PIX-333,chris@slimshady.me,Medium,Done,27.0 Implement GRPO trainer and reward function,"phase-5-grpo, safety-critical"
Task,PIX-334,chris@slimshady.me,Medium,Done,*27.1 Property test — reward score range (Prop 2),"phase-5-grpo, safety-critical, type:test"
Task,PIX-335,chris@slimshady.me,Medium,Done,*27.2 Property test — unsafe response safety score (Prop 3),"phase-5-grpo, safety-critical, type:test"
Task,PIX-336,chris@slimshady.me,Medium,Done,*27.3 Property test — crisis resource score (Prop 4),"phase-5-grpo, safety-critical, type:test"
Task,PIX-337,chris@slimshady.me,Medium,Done,*27.4 Property test — low-reward exclusion (Prop 5),"phase-5-grpo, safety-critical, type:test"
Task,PIX-338,chris@slimshady.me,Medium,Done,*27.5 Unit tests for reward function — 100% coverage,"phase-5-grpo, safety-critical, type:test"
Task,PIX-339,chris@slimshady.me,Medium,To Do,28.0 Integration test — GRPO end-to-end,"phase-5-grpo, type:test"
Task,PIX-340,chris@slimshady.me,Medium,To Do,29.0 Checkpoint — Phase 5 complete,"phase-5-grpo, type:checkpoint"
Task,PIX-341,chris@slimshady.me,Medium,Done,30.0 Implement mental health evaluation suite,phase-6-eval
Task,PIX-342,chris@slimshady.me,Medium,Done,*30.1 Property test — eval metrics completeness (Prop 13),"phase-6-eval, type:test"
Task,PIX-343,chris@slimshady.me,Medium,Done,*30.2 Property test — crisis safety failure detection (Prop 14),"phase-6-eval, safety-critical, type:test"
Task,PIX-344,chris@slimshady.me,Medium,Done,*30.3 Unit tests for mental_health_eval.py,"phase-6-eval, type:test"
Task,PIX-345,chris@slimshady.me,Medium,Done,31.0 Integration test — eval suite end-to-end,"phase-6-eval, type:test"
Task,PIX-346,chris@slimshady.me,Medium,Done,32.0 Checkpoint — Phase 6 complete,"phase-6-eval, type:checkpoint"
Task,PIX-347,chris@slimshady.me,Medium,Done,33.0 Full pipeline dry run,"phase-7-integration, type:execution"
Task,PIX-348,chris@slimshady.me,Medium,To Do,34.0 Full pipeline production run,"phase-7-integration, type:execution"
Task,PIX-349,chris@slimshady.me,Medium,To Do,35.0 Final checkpoint — All complete,"phase-7-integration, type:checkpoint"
Task,PIX-350,chris@slimshady.me,Medium,Done,[Checkmate] Set up Sentry for error tracking,
Task,PIX-351,chris@slimshady.me,Medium,To Do,[Checkmate] Solana devnet smoke tests,
Task,PIX-352,chris@slimshady.me,Medium,Done,[Checkmate] Write Solana integration tests,
Task,PIX-353,chris@slimshady.me,Medium,In Progress,[Checkmate] Verify EVM contract on Etherscan,
Task,PIX-354,chris@slimshady.me,Medium,To Do,[Checkmate] EVM smoke tests on Sepolia,
Task,PIX-355,chris@slimshady.me,Medium,To Do,[Checkmate] Set up Sentry error tracking,
Task,PIX-356,chris@slimshady.me,Medium,To Do,[Checkmate] Verify EVM contract on Etherscan/Basescan,
Task,PIX-357,chris@slimshady.me,Medium,To Do,[Checkmate] Write Solana integration tests on devnet,
Task,PIX-358,chris@slimshady.me,Medium,To Do,[Checkmate] Smoke test EVM contract on Sepolia,
Task,PIX-359,chris@slimshady.me,Medium,To Do,[Checkmate] Submit audit package to security auditor,
Task,PIX-360,chris@slimshady.me,Medium,Done,[Checkmate] Make Phase D feature decisions (CM-016/017/018),
Task,PIX-361,chris@slimshady.me,Medium,Done,8.5 Implement YouTube transcript fetcher (yt-dlp acquisition step),phase-2-data
Task,PIX-362,chris@slimshady.me,Medium,To Do,Setup blockchain API keys and testnet funds for contract verification,
Task,PIX-363,chris@slimshady.me,Medium,To Do,AI Catalyst research,
Task,PIX-364,chris@slimshady.me,Medium,To Do,Claude Code connectivity sanity check,
Task,PIX-365,chris@slimshady.me,Medium,To Do,Claude Code linear path hardening validation,
Task,PIX-366,chris@slimshady.me,Medium,To Do,Linear resilience hardening verification,
Task,PIX-367,chris@slimshady.me,Medium,To Do,Research & Apply: Alibaba Cloud AI Catalyst Program,
Task,PIX-368,chris@slimshady.me,Medium,Done,Workstream D: Define training-readiness validation gates,
Task,PIX-369,chris@slimshady.me,Medium,Done,Workstream D: Add pipeline observability for failures,
Task,PIX-370,chris@slimshady.me,Medium,In Progress,Workstream E: Build evaluation-to-data feedback loop,
Task,PIX-371,chris@slimshady.me,Medium,In Progress,Systematic TypeScript Error Resolution - Phase 5 & 6,
Epic,PIX-372,,Medium,To Do,Memory May-Hem Expansion,
Task,PIX-373,chris@slimshady.me,Medium,To Do,Sprint 1: Memory Schema & Unification (May 12 – May 25),
Task,PIX-374,chris@slimshady.me,Medium,To Do,Sprint 2: Gating & Ingestion (May 26 – June 8),
Task,PIX-375,chris@slimshady.me,Medium,To Do,Design Unified Memory Schema,
Task,PIX-376,chris@slimshady.me,Medium,To Do,Update AI Repository Memory,
Task,PIX-377,chris@slimshady.me,Medium,To Do,Update Pixelated Memory Service,
Task,PIX-378,chris@slimshady.me,Medium,To Do,Sprint 3: Dreaming & Consolidation (June 9 – June 22),
Task,PIX-379,chris@slimshady.me,Medium,To Do,Design Cross‑Language Memory API,
Task,PIX-380,chris@slimshady.me,Medium,To Do,Sprint 4: Reflection & Learning (June 23 – July 6),
Task,PIX-381,chris@slimshady.me,Medium,To Do,"Sprint 5: Fine-Tuning, Evaluation & Deployment (July 7 – July 27)",
Task,PIX-382,chris@slimshady.me,Medium,To Do,Implement Socratic Gate,
Task,PIX-383,chris@slimshady.me,Medium,To Do,Integrate Gate into AI Ingestion,
Task,PIX-384,chris@slimshady.me,Medium,To Do,Integrate Gate into AI Ingestion,
Task,PIX-385,chris@slimshady.me,Medium,To Do,Integrate Gate into Pixelated Ingestion,
Task,PIX-386,chris@slimshady.me,Medium,To Do,Write Unit Tests for the Gate,
Task,PIX-387,chris@slimshady.me,Medium,To Do,Develop Dream Scheduler Service,
Task,PIX-388,chris@slimshady.me,Medium,To Do,Create Dream Manager Module,
Task,PIX-389,chris@slimshady.me,Medium,To Do,Wire Dream Manager into AI Memory,
Task,PIX-390,chris@slimshady.me,Medium,To Do,Extend Pixelated Context Blocks,
Task,PIX-391,chris@slimshady.me,Medium,To Do,Implement Reflection Tasks,
Task,PIX-392,chris@slimshady.me,Medium,To Do,Integrate Reflection with Dream Cycles,
Task,PIX-393,chris@slimshady.me,Medium,To Do,Prepare Fine‑Tuning Dataset,
Task,PIX-394,chris@slimshady.me,Medium,To Do,Fine‑Tune the Model,
Task,PIX-395,chris@slimshady.me,Medium,To Do,Evaluate Memory Performance,
Task,PIX-396,chris@slimshady.me,Medium,To Do,Iterate & Refine,
Task,PIX-397,,Medium,To Do,Workstream E: Implement performance-gap-to-backlog conversion rules,
Task,PIX-398,,Medium,To Do,Workstream E: Build evidence-based reprioritization engine,
Task,PIX-399,,Medium,To Do,Workstream E: Integrate steering with upstream workstreams,
